Occupancy,Source,DamageCategory,Description,ft09m,ft08m,ft07m,ft06m,ft05m,ft04m,ft03m,ft02m,ft01m,ft0.5m,ft0,ft0.5,ft1,ft2,ft3,ft4,ft5,ft6,ft7,ft8,ft9,ft10
RES1-1SWB,NACCS,Min,"Single story residence, with basement",0,0,0,0,0,0,1,1,3,4,5,10,15,25,30,30,50,50,64,64,64,85
RES1-1SWB,NACCS,ML,"Single story residence, with basement",0,1,1,1,3,3,5,5,10,12,18,30,30,35,40,40,70,70,90,90,90,95
RES1-1SWB,NACCS,Max,"Single story residence, with basement",0,2,2,2,10,10,15,15,18,21,30,35,43,50,55,55,84,84,94,94,94,100
RES1-2SWB,NACCS,Min,"Two story residence, with basement",0,0,0,0,0,0,1,1,3,4,5,7,15,17,27,27,40,40,50,50,50,62
RES1-2SWB,NACCS,ML,"Two story residence, with basement",0,0,0,0,3,3,7,7,10,12,15,20,25,30,35,35,50,50,60,60,60,70
RES1-2SWB,NACCS,Max,"Two story residence, with basement",0,3,3,3,8,8,10,10,15,17,20,30,30,35,40,40,55,55,65,65,65,80
RES1-1SNB,NACCS,Min,"Single story residence, no basement",0,0,0,0,0,0,0,0,0,0,0,6,10,16,20,20,30,30,42,42,42,55
RES1-1SNB,NACCS,ML,"Single story residence, no basement",0,0,0,0,0,0,0,0,0,0,1,10,18,28,33,33,42,42,55,55,55,65
RES1-1SNB,NACCS,Max,"Single story residence, no basement",0,0,0,0,0,0,0,0,0,5,10,20,30,40,45,45,60,60,94,94,94,100
RES1-2SNB,NACCS,Min,"Two story residence, no basement",0,0,0,0,0,0,0,0,0,0,0,5,9,15,20,20,25,25,40,40,40,50
RES1-2SNB,NACCS,ML,"Two story residence, no basement",0,0,0,0,0,0,0,0,0,1,5,10,15,20,25,25,30,30,50,50,50,60
RES1-2SNB,NACCS,Max,"Two story residence, no basement",0,0,0,0,0,0,0,0,2,3,8,10,20,25,30,30,40,40,55,55,55,70
RES3A-1SNB,NACCS,Min,"Apartments, 1 story, no basement",0,0,0,0,0,0,0,0,0,0,3,10,16,23,39,39,52,52,59,59,59,59
RES3A-1SNB,NACCS,ML,"Apartments, 1 story, no basement",0,0,0,0,0,0,0,0,0,0,10,16,25,35,43,43,60,60,68,68,68,68
RES3A-1SNB,NACCS,Max,"Apartments, 1 story, no basement",0,0,0,0,0,0,0,0,0,0,14,22,38,45,60,60,75,75,85,85,85,85
RES3A-3SNB,NACCS,Min,"Apartments, 3 stories, no basement",0,0,0,0,0,0,0,0,0,0,0,5,7,10,18,18,20,20,35,35,35,35
RES3A-3SNB,NACCS,ML,"Apartments, 3 stories, no basement",0,0,0,0,0,0,0,0,0,0,5,8,20,28,28,28,38,38,46,46,46,50
RES3A-3SNB,NACCS,Max,"Apartments, 3 stories, no basement",0,0,0,0,0,0,0,0,0,0,8,12,25,29,30,30,44,44,50,50,50,60
COM-ENG,NACCS,Min,"Commercial, engineered",0,0,0,0,0,0,0,0,0,0,0,5,12,18,28,28,33,33,43,43,43,48
COM-ENG,NACCS,ML,"Commercial, engineered",0,0,0,0,0,0,0,0,0,0,5,10,20,30,35,35,40,40,53,53,53,58
COM-ENG,NACCS,Max,"Commercial, engineered",0,0,0,0,0,0,0,0,0,0,9,17,27,36,43,43,48,48,60,60,60,69
COM-PRE,NACCS,Min,"Commercial, non/pre engineered",0,0,0,0,0,0,0,0,0,0,0,5,10,15,20,20,28,28,35,35,35,40
COM-PRE,NACCS,ML,"Commercial, non/pre engineered",0,0,0,0,0,0,0,0,0,0,5,12,20,28,35,35,45,45,55,55,55,60
COM-PRE,NACCS,Max,"Commercial, non/pre engineered",0,0,0,0,0,0,0,0,0,10,15,20,30,42,55,55,65,65,75,75,75,78
RES-URBH,NACCS,Min,Urban high rise,0,0,0,0,0.5,0.5,1.75,1.75,3.5,3.5,5.5,6.75,8,8.75,9.5,9.5,10.25,10.25,11.5,11.5,11.5,12.5
RES-URBH,NACCS,ML,Urban high rise,0,0,0,0,6.5,6.5,9,9,13,13.25,13.75,14.25,15.5,17.5,19,19,21.5,21.5,22.5,22.5,22.5,23.5
RES-URBH,NACCS,Max,Urban high rise,0,0,0,0,10,10,12.5,12.5,16,17.75,18.5,19.25,20,22.5,24,24,25,25,25.5,25.5,25.5,26.5
RES-BCHH,NACCS,Min,Beach high rise,0,0,0,0,0,0,0,0,0,0,0,0.75,2,3.5,4.5,4.5,5.5,5.5,6.5,6.5,6.5,7.5
RES-BCHH,NACCS,ML,Beach high rise,0,0,0,0,0,0,0,0,0,0,0,2.25,4.5,7,7.75,7.75,11.5,11.5,12.75,12.75,12.75,16.5
RES-BCHH,NACCS,Max,Beach high rise,0,0,0,0,0,0,0,0,0,0,0,4.25,7.5,12,14,14,15,15,17.25,17.25,17.25,20
RES-OPEN,NACCS,Min,Buidling on open pile foundation,0,0,0,0,1,1,2,2,2,6,7,12,30,35,40,40,50,50,60,60,60,82
RES-OPEN,NACCS,ML,Buidling on open pile foundation,0,0,0,0,2,2,4,4,12,16,20,28,35,40,60,60,70,70,80,80,80,100
RES-OPEN,NACCS,Max,Buidling on open pile foundation,0,2,2,2,10,10,12,12,20,25,32,35,55,70,80,80,100,100,100,100,100,100
RES-ENC,NACCS,Min,Building on pile foundation with enclosures,0,0,0,0,1,1,2,2,2,6,7,12,30,35,40,40,50,50,60,60,60,82
RES-ENC,NACCS,ML,Building on pile foundation with enclosures,0,0,0,0,2,2,4,4,12,16,20,28,35,40,60,60,70,70,80,80,80,100
RES-ENC,NACCS,Max,Building on pile foundation with enclosures,0,2,2,2,10,10,12,12,20,25,32,35,55,70,80,80,100,100,100,100,100,100
